股票代码,新闻发布时间,公司简称
002729,2015-11-09,好利来
300372,2015-11-12,欣泰电气
000673,2015-11-27,当代东方
603636,2015-12-04,南威软件
300189,2015-12-07,神农基因
600376,2015-12-15,首开股份
601311,2015-12-29,骆驼股份
002609,2016-01-13,捷顺科技
000018,2016-01-22,神州长城
300376,2016-02-04,易事特
002212,2016-02-22,南洋股份
002721,2016-03-04,金一文化
601028,2016-03-22,玉龙股份
300347,2016-03-24,泰格医药
300296,2016-03-24,利亚德
300156,2016-03-30,神雾环保
300356,2016-03-31,光一科技
300207,2016-04-05,欣旺达
300264,2016-04-10,佳创视讯
002116,2016-04-11,中国海诚
300262,2016-04-12,巴安水务
300495,2016-04-15,美尚生态
600867,2016-04-21,通化东宝
600530,2016-04-25,交大昂立
603778,2016-04-28,乾景园林
002431,2016-05-05,棕榈股份
600050,2016-05-05,中国联通
002616,2016-05-06,长青集团
300370,2016-05-16,安控科技
603568,2016-05-17,伟明环保
002780,2016-05-24,三夫户外
600068,2016-06-03,葛洲坝
002518,2016-06-06,科士达
600836,2016-06-08,界龙实业
601608,2016-06-08,中信重工
002607,2016-06-13,亚夏汽车
002298,2016-06-13,中电鑫龙
300131,2016-06-17,英唐智控
600340,2016-06-22,华夏幸福
002678,2016-07-06,珠江钢琴
000018,2016-07-11,神州长城
600068,2016-07-11,葛洲坝
002431,2016-07-14,棕榈股份
300094,2016-07-22,国联水产
000672,2016-07-25,上峰水泥
601668,2016-07-29,中国建筑
300177,2016-08-01,中海达
300020,2016-08-16,银江股份
300075,2016-08-21,数字政通
300426,2016-08-23,唐德影视
000605,2016-08-30,渤海股份
002551,2016-09-02,尚荣医疗
600831,2016-09-03,广电网络
000826,2016-09-06,启迪桑德
601919,2016-09-09,中国远洋
002121,2016-09-09,科陆电子
002717,2016-09-19,岭南园林
601933,2016-09-19,泰禾集团
300210,2016-09-22,森远股份
300397,2016-09-30,天和防务
601390,2016-10-14,中国中铁
300376,2016-10-14,易事特
002717,2016-10-19,岭南园林
600196,2016-10-27,复星医药
300001,2016-11-02,特锐德
002680,2016-11-08,长生生物
300070,2016-11-08,碧水源
300398,2016-11-14,飞凯材料
300001,2016-11-17,特锐德
300392,2016-11-17,腾信股份
600491,2016-11-22,龙元建设
002616,2016-11-23,长青集团
000038,2016-11-25,深大通
600571,2016-11-29,信雅达
002717,2016-11-30,岭南园林
300145,2016-11-30,中金环境
300091,2016-12-08,金通灵
300362,2016-12-09,天翔环境
300356,2016-12-14,光一科技
603869,2016-12-18,北部湾旅
300338,2016-12-20,开元仪器
300500,2016-12-26,苏州设计
300145,2016-12-27,中金环境
300281,2017-01-10,金明精机
300362,2017-01-10,天翔环境
000533,2017-01-11,万家乐
002153,2017-01-16,石基信息
300007,2017-01-18,汉威电子
002460,2017-01-18,赣锋锂业
603636,2017-01-19,南威软件
002205,2017-01-19,国统股份
300363,2017-01-26,博腾股份
300385,2017-02-08,雪浪环境
600552,2017-02-09,凯盛科技
300133,2017-02-10,华策影视
600610,2017-02-13,中毅达
600068,2017-02-13,葛洲坝
002755,2017-02-16,东方新星
300116,2017-02-20,坚瑞沃能
002293,2017-02-22,罗莱生活
601800,2017-03-01,中国交建
300560,2017-03-06,中富通
002792,2017-03-06,通宇通讯
002775,2017-03-07,文科园林
300116,2017-03-08,坚瑞沃能
300255,2017-03-10,常山药业
300328,2017-03-13,宜安科技
300222,2017-03-15,科大智能
300459,2017-03-19,金科娱乐
600255,2017-03-29,鑫科材料
600037,2017-04-06,歌华有线
300569,2017-04-07,天能重工
600718,2017-04-12,东软集团
300123,2017-04-12,太阳鸟
300393,2017-04-14,中来股份
600512,2017-04-16,腾达建设
002027,2017-04-16,分众传媒
300343,2017-04-24,联创互联
300473,2017-04-26,德尔股份
002781,2017-05-09,奇信股份
002390,2017-05-10,信邦制药
603658,2017-05-10,安图生物
000564,2017-05-14,供销大集
300037,2017-05-15,新宙邦
300116,2017-05-22,坚瑞沃能
300146,2017-05-23,汤臣倍健
300562,2017-05-23,乐心医疗
000018,2017-05-23,神州长城
002622,2017-05-24,融钰集团
000869,2017-05-25,张裕A
000869,2017-05-25,张裕A
000958,2017-05-25,东方能源
000732,2017-05-26,泰禾集团
300388,2017-05-26,国祯环保
600778,2017-06-02,友好集团
002733,2017-06-02,雄韬股份
600340,2017-06-06,华夏幸福
601669,2017-06-06,中国电建
300223,2017-06-07,北京君正
000625,2017-06-09,长安汽车
300152,2017-06-13,科融环境
002579,2017-06-14,中京电子
300262,2017-06-15,巴安水务
000612,2017-06-20,焦作万方
600158,2017-06-21,中体产业
300348,2017-06-26,长亮科技
300198,2017-06-29,纳川股份
300058,2017-07-07,蓝色光标
300668,2017-07-12,杰恩设计
300202,2017-07-12,聚龙股份
300143,2017-08-01,星普医科
300072,2017-08-03,三聚环保
300236,2017-08-03,上海新阳
300272,2017-08-09,开能环保
300649,2017-08-11,杭州园林
300438,2017-08-16,鹏辉能源
300492,2017-08-16,山鼎设计
600859,2017-08-18,王府井
300225,2017-08-22,金力泰
300676,2017-09-08,华大基因
300647,2017-09-11,超频三
300679,2017-09-13,电连技术
300199,2017-09-14,翰宇药业
603388,2017-09-17,元成股份
300665,2017-09-21,飞鹿股份
300590,2017-09-26,移为通信
600340,2017-10-20,华夏幸福
300490,2017-10-25,华自科技
300055,2017-10-26,万邦达
603636,2017-10-28,南威软件
300218,2017-11-01,安利股份
603165,2017-11-03,荣晟环保
300145,2017-11-13,中金环境
300068,2017-11-14,南都电源
300601,2017-11-15,康泰生物
603993,2017-11-17,洛阳钼业
002506,2017-11-24,协鑫集成
300708,2017-11-24,聚灿光电
600737,2017-12-01,中粮糖业
300336,2017-12-04,新文化
300065,2017-12-05,海兰信
300708,2017-12-05,聚灿光电
300075,2017-12-05,数字政通
300266,2017-12-06,兴源环境
300262,2018-01-02,巴安水务
300108,2018-01-03,吉药控股
002559,2018-01-13,亚威股份
002249,2018-01-17,大洋电机
603979,2018-01-18,金诚信
300118,2018-01-23,东方日升
000797,2018-01-26,中国武夷
002624,2018-01-28,完美世界
002153,2018-02-08,石基信息
002717,2018-03-14,岭南股份
600117,2018-03-17,西宁特钢
300002,2018-03-19,神州泰岳
300072,2018-03-28,三聚环保
300496,2018-03-30,中科创达
603619,2018-04-08,中曼石油
300173,2018-04-10,智慧松德
600283,2018-04-13,钱江水利
002717,2018-04-19,岭南股份
300621,2018-04-19,维业股份
002717,2018-04-24,岭南股份
601238,2018-04-24,广汽集团
601238,2018-04-25,广汽集团
300230,2018-05-10,永利股份
300516,2018-05-11,久之洋
300321,2018-05-15,同大股份
300363,2018-05-18,博腾股份
300384,2018-05-24,三联虹普
300585,2018-05-28,奥联电子
300072,2018-05-28,三聚环保
002255,2018-06-11,海陆重工
002259,2018-06-15,升达林业
300364,2018-06-20,中文在线
300397,2018-06-21,天和防务
300375,2018-06-25,鹏翎股份
002564,2018-06-25,天沃科技
300007,2018-07-03,汉威科技
300676,2018-07-06,华大基因
300294,2018-07-13,博雅生物
603801,2018-07-13,志邦股份
300750,2018-07-17,宁德时代
300342,2018-07-19,天银机电
002810,2018-07-27,山东赫达
300281,2018-07-30,金明精机
300198,2018-08-01,纳川股份
000908,2018-08-30,景峰医药
002445,2018-08-30,中南文化
300482,2018-09-03,万孚生物
300037,2018-09-25,新宙邦
300715,2018-09-25,凯伦股份
300202,2018-10-08,聚龙股份
002209,2018-10-23,达意隆
300094,2018-10-24,国联水产
002611,2018-10-24,东方精工
600519,2018-10-30,贵州茅台
603283,2018-11-01,赛腾股份
603283,2018-11-02,赛腾股份
300605,2018-11-07,恒锋信息
300362,2018-11-09,天翔环境
603977,2018-11-12,国泰集团
300467,2018-11-16,迅游科技
300595,2018-11-20,欧普康视
300014,2018-11-27,亿纬锂能
000923,2018-11-28,河北宣工
300379,2018-12-05,东方通
300133,2018-12-06,华策影视
002359,2018-12-11,北讯集团
300027,2018-12-11,华谊兄弟
300601,2018-12-14,康泰生物
000799,2018-12-16,酒鬼酒
300567,2018-12-21,精测电子
600132,2019-01-02,重庆啤酒
300630,2019-01-07,普利制药
601992,2019-01-10,金隅集团
002841,2019-01-13,视源股份
000413,2019-01-25,东旭光电
600086,2019-02-27,东方金钰
002137,2019-02-28,麦达数字
002840,2019-03-04,华统股份
300749,2019-03-12,顶固集创
600234,2019-03-26,ST山水
300175,2019-04-02,朗源股份
300110,2019-04-03,华仁药业
000413,2019-04-09,东旭光电
600737,2019-04-11,中粮糖业
600668,2019-04-17,尖峰集团
600160,2019-04-18,巨化股份
000538,2019-05-09,云南白药
002702,2019-05-13,海欣食品
300666,2019-05-13,江丰电子
300716,2019-05-16,国立科技
300122,2019-05-23,智飞生物
300376,2019-05-27,易事特
000523,2019-05-29,广州浪奇
600609,2019-05-29,金杯汽车
002082,2019-06-25,万邦德
603500,2019-06-27,祥和实业
300558,2019-07-12,贝达药业
300162,2019-07-29,雷曼广电
000597,2019-07-30,东北制药
300223,2019-07-30,北京君正
002239,2019-08-05,奥特佳
002205,2019-08-07,国统股份
002317,2019-08-15,众生药业
000739,2019-08-22,普洛药业
600118,2019-09-06,中国卫星
603358,2019-09-10,华达科技
600211,2019-10-10,西藏药业
002152,2019-10-10,广电运通
300176,2019-10-12,派生科技
300210,2019-10-15,森远股份
000048,2019-10-21,康达尔
002157,2019-10-24,正邦科技
300045,2019-10-28,华力创通
603699,2019-10-30,纽威股份
002873,2019-11-04,新天药业
000927,2019-11-05,一汽夏利
300174,2019-11-06,元力股份
603922,2019-11-06,金鸿顺
002129,2019-11-11,中环股份
300596,2019-11-13,利安隆
603556,2019-11-19,海兴电力
601766,2019-11-19,中国中车
688299,2019-11-22,长阳科技
603658,2019-11-29,安图生物
002587,2019-12-01,奥拓电子
601238,2019-12-02,广汽集团
601127,2019-12-06,小康股份
300486,2019-12-16,东杰智能
600815,2019-12-19,*ST厦工
603019,2019-12-19,中科曙光
603313,2019-12-23,梦百合
002665,2019-12-24,首航节能
600071,2020-01-06,凤凰光学
600189,2020-01-08,吉林森工
300545,2020-01-13,联得装备
002791,2020-01-14,坚朗五金
002575,2020-01-14,群兴玩具
002838,2020-01-14,道恩股份
600528,2020-01-15,中铁工业
600079,2020-01-15,人福医药
603606,2020-01-18,东方电缆
600521,2020-03-06,华海药业
300370,2020-03-16,安控科技
601608,2020-03-23,中信重工
000716,2020-03-24,黑芝麻
603609,2020-03-29,禾丰牧业
002557,2020-04-08,洽洽食品
002052,2020-04-17,同洲电子
000541,2020-04-26,佛山照明
300026,2020-05-13,红日药业
300124,2020-05-14,汇川技术
002226,2020-05-22,江南化工
300225,2020-05-29,金力泰
601606,2020-06-01,长城军工
002224,2020-06-05,三力士
300575,2020-06-10,中旗股份
600835,2020-06-12,上海机电
600366,2020-06-16,宁波韵升
603683,2020-06-22,晶华新材
002481,2020-06-23,双塔食品
688169,2020-07-01,石头科技
002547,2020-07-09,春兴精工
603555,2020-07-17,*ST贵人
603396,2020-07-28,金辰股份
002335,2020-07-30,科华恒盛
603600,2020-08-10,永艺股份
002665,2020-08-24,首航高科
600579,2020-08-26,克劳斯
603611,2020-08-27,诺力股份
600332,2020-08-28,白云山
300720,2020-09-01,海川智能
300601,2020-09-08,康泰生物
600530,2020-09-09,*ST交昂
300756,2020-09-15,中山金马
000630,2020-09-18,铜陵有色
600251,2020-09-21,冠农股份
600276,2020-09-22,恒瑞医药
688567,2020-09-22,孚能科技
000790,2020-10-22,华神科技
300876,2020-10-22,蒙泰高新
002108,2020-10-29,沧州明珠
002411,2020-10-29,延安必康
002489,2020-11-17,浙江永强
603026,2020-11-26,石大胜华
603866,2020-11-27,桃李面包
600600,2020-12-14,青岛啤酒
603822,2020-12-27,嘉澳环保
002726,2021-01-08,龙大肉食
603816,2021-01-27,顾家家居
002971,2021-02-01,和远气体
002594,2021-02-02,比亚迪
002239,2021-02-04,奥特佳
000597,2021-02-23,东北制药
002899,2021-02-23,英派斯
002902,2021-03-17,铭普光磁
002057,2021-03-29,中钢天源
603626,2021-04-20,科森科技
002092,2021-04-25,中泰化学
688126,2021-04-26,沪硅产业
603429,2021-04-26,集友股份
600479,2021-04-27,千金药业
002179,2021-04-29,中航光电
002831,2021-06-15,裕同科技
300596,2021-06-21,利安隆
603001,2021-07-18,奥康国际
002388,2021-07-26,新亚制程
600779,2021-08-01,水井坊
000100,2021-08-10,TCL科技
300526,2021-09-22,中潜股份
002365,2021-11-04,永安药业
603658,2021-11-29,安图生物
688162,2021-11-29,巨一科技
600835,2022-01-12,上海机电
002824,2022-02-21,和胜股份
600416,2022-02-22,湘电股份
000016,2022-03-01,深康佳A
836149,2022-03-14,旭杰科技
000581,2022-04-22,威孚高科
600177,2022-05-17,雅戈尔
300586,2022-06-23,美联新材
839729,2022-07-18,永顺生物
603332,2022-08-04,苏州龙杰
300565,2022-08-22,科信技术
688661,2022-09-01,和林微纳
002907,2022-09-02,华森制药
002752,2022-09-13,昇兴股份
300919,2022-11-04,中伟股份
